folio,carbono_arboles_tpha,date_distance,measurement_date,veg_type_id,veg_type,type_code,ecosystem,num_pixels,num_masked_pixels,elev_mean,slope_mean,vcf_mean,hh_mean,hv_mean,lsmask_mean,lsmask_min,lsmask_max,num_images
53304,22.8622704629673062,-366,2006-09-28,25,Selva mediana subcaducifolia,TDF,Selvas,141.0000000000000000,141.0000000000000000,33.8210890233362135,2.9544619706136562,69.6105229040622300,0.07841132075261413000,0.02496373695540810000,0.00000000000000000000,0,0,2
73842,34.8042606125990900,-1031,2004-12-02,37,Bosque de pino-encino,CBF,Bosques,136.0000000000000000,136.0000000000000000,2125.4191176470590000,27.7132352941176500,47.4926470588235300,0.06081231297691358500,0.01711541692161793600,0.00000000000000000000,0,0,1
54206,33.2467023156183060,-983,2005-01-19,27,Selva baja caducifolia,TDF,Selvas,219.0000000000000000,219.0000000000000000,67.4109589041095900,3.5479452054794520,79.9817351598173500,0.07606178461735547000,0.02576020958468530000,0.00000000000000000000,0,0,1
41408,6.5619692605969636,-604,2006-02-02,27,Selva baja caducifolia,TDF,Selvas,155.0000000000000000,155.0000000000000000,92.0580645161290400,4.7032258064516130,27.2258064516129040,0.07215954067445103000,0.01806617526718242200,0.00000000000000000000,0,0,1
62750,53.8782116734681114,-1020,2004-12-13,26,Selva mediana subperennifolia,THF,Selvas,76.5000000000000000,76.5000000000000000,9.7847250100361300,1.8477519068647129,80.0212765957446800,0.07187081782674006000,0.02512786127166759950,0.00000000000000000000,0,0,2
49508,5.4911307910002033,17,2007-10-16,26,Selva mediana subperennifolia,THF,Selvas,114.0000000000000000,114.0000000000000000,1185.6052631578948000,26.4035087719298250,51.6315789473684200,0.03428495197979837000,0.01258472639882211700,0.00000000000000000000,0,0,1
40081,6.7983360070047063,-884,2005-04-28,39,Bosque de encino-pino,CBF,Bosques,73.0000000000000000,73.0000000000000000,2314.6986301369860000,15.6301369863013700,11.2465753424657540,0.06178434342847745000,0.01156789451084560000,0.00000000000000000000,0,0,1
44425,30.0244453617274106,-59,2007-08-01,38,Bosque de encino,BF,Bosques,153.0000000000000000,153.0000000000000000,1339.6862745098040000,18.0915032679738560,47.1503267973856240,0.13760238813106423000,0.02778265174078387400,0.00000000000000000000,0,0,1
68582,29.0592022765295433,-830,2005-06-21,38,Bosque de encino,BF,Bosques,32.0000000000000000,32.0000000000000000,1285.4062500000000000,24.6875000000000000,20.7812500000000000,0.07662611978432234000,0.02705008495744299000,0.00000000000000000000,0,0,1
69107,1.9273303000453430,-839,2005-06-12,27,Selva baja caducifolia,TDF,Selvas,37.5000000000000000,37.5000000000000000,1279.1685796269727000,14.5824964131994270,19.8945480631276900,0.12863083150449692500,0.03886435006708258500,0.00000000000000000000,0,0,2
14545,7.6210320684209703,-1004,2004-12-29,38,Bosque de encino,BF,Bosques,97.0000000000000000,97.0000000000000000,1535.1443298969073000,17.8144329896907220,19.0927835051546400,0.17387492968499500000,0.02662372696077757600,0.00000000000000000000,0,0,1
77880,22.8973887455634254,-1024,2004-12-09,19,Manglar,MG,Selvas,66.0000000000000000,66.0000000000000000,13.2575757575757580,0.59090909090909090000,54.4848484848484840,0.09171620958981250000,0.01905665914800100400,0.00000000000000000000,0,0,1
76104,2.4023401347780540,-954,2005-02-17,27,Selva baja caducifolia,TDF,Selvas,81.5000000000000000,81.5000000000000000,962.7880434782608500,11.0498315982853650,26.2650796080832815,0.09211295182409989000,0.02218351499364751750,0.00000000000000000000,0,0,2
30121,11.4230691871100896,-877,2005-05-05,42,Bosque de tascate,CF,Bosques,228.0000000000000000,228.0000000000000000,2472.0526315789475000,27.9298245614035100,32.2017543859649100,0.07000468562274402000,0.01490242342823145900,0.00000000000000000000,0,0,1
63210,6.0429031380458746,-876,2005-05-06,26,Selva mediana subperennifolia,THF,Selvas,40.0000000000000000,40.0000000000000000,53.1500000000000000,1.00000000000000000000,58.8750000000000000,0.07817877799713079000,0.02335616005066492800,0.00000000000000000000,0,0,1
8750,7.9896426036243101,-610,2006-01-27,36,Bosque de pino,CF,Bosques,212.0000000000000000,212.0000000000000000,2400.0801886792450000,30.3066037735849070,9.6745283018867920,0.09590500636488579000,0.02704989849290662500,0.00000000000000000000,0,0,1
37786,33.3919095016964523,-933,2005-03-10,37,Bosque de pino-encino,CBF,Bosques,164.5000000000000000,164.5000000000000000,2421.1950097423684000,12.2046979865771810,41.8065057371725500,0.15587967440828890000,0.03657342665137044000,0.00000000000000000000,0,0,2
44593,4.3532085620025955,-43,2007-08-17,27,Selva baja caducifolia,TDF,Selvas,62.5000000000000000,62.5000000000000000,386.2358196256381000,14.2939591605218385,29.9690867838910950,0.12940865999341665000,0.02199565281798838950,0.00000000000000000000,0,0,2
61497,15.3189232140344294,-52,2007-08-08,25,Selva mediana subcaducifolia,TDF,Selvas,109.0000000000000000,109.0000000000000000,192.1009174311926700,24.2477064220183500,50.6330275229357800,0.14310038064219790000,0.03952051909378499000,0.00000000000000000000,0,0,1
